Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
qWpf0lVkmjBAOGmks8tE0w,Alamo Square Seafood Grill,Seafood,$11-30,$11-30,"
                                85 out of 100
                            ",52,62,79,199,217,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Intimate,Casual,Average,
ttarnopezxmp2ROB1N2PaA,Nopa,"American (New),Modern European,Desserts",$31-60,$31-60,"
                                93 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Loud,
NBdAqG4Kdqy0BrCrWa0xUg,Tsunami Panhandle,"Sushi Bars,Japanese,Seafood",$31-60,$31-60,"
                                87 out of 100
                            ",75,109,170,304,183,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Trendy,Casual,Average,
6zXVo_uK_GVqN3Z0t5KFHQ,Club Waziema,"Ethiopian,Lounges,Music Venues",$11-30,$11-30,"
                                92 out of 100
                            ",42,25,89,162,82,Yes,Full Bar,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
miitrMzuWgi4nzNeb-yLNg,Bruno’s Pizzeria,"Pizza,Italian,Sports Bars",$11-30,$11-30,"
                                79 out of 100
                            ",31,24,52,64,39,Yes,Full Bar,,Yes,,No,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Quiet,
kiRsScNQs_UdDV6jPyeCWg,Petit Crenn,French,Above $61,Above $61,"
                                91 out of 100
                            ",26,42,48,67,147,Yes,Beer & Wine Only,,No,,,Yes,Street,,No,Yes,Yes,No,,Classy,Casual,Average,
8FEy6ZgLlP9RlE_C_6KpKw,Uva Enoteca,"Italian,Pizza",$11-30,$11-30,"
                                86 out of 100
                            ",39,81,138,360,266,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
Lxb2mz0Yay7y8HSmvJ7dmA,Mazzat,"Mediterranean,Lebanese",$11-30,$11-30,"
                                80 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
W0mlelgnkSPU3ELhyzkXHA,Fat Angel,"Wine Bars,Gastropubs",$11-30,$11-30,"
                                80 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,"Garage, Street",,Yes,No,,No,,Casual,Casual,Average,Background
CS0pUlk25RV2-vhKFFbxqA,The Progress,"American (New),Bars",Above $61,Above $61,"
                                92 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,"Casual, Trendy",Casual,Average,Background
QZQGRJZ4bZCmNoXjs3z1XQ,State Bird Provisions,"Tapas/Small Plates,American (New),Desserts",$31-60,$31-60,"
                                93 out of 100
                            ",61,138,352,627,1302,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Average,
kFgjHGp-cTUK5uPaSJOORA,Souvla,"Greek,Mediterranean",$11-30,$11-30,"
                                96 out of 100
                            ",33,63,150,353,499,Yes,Beer & Wine Only,,No,,No,Yes,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,
WLqqZYTeo6wFXuCFtlweqA,Patxi’s Pizza,"Pizza,Salad,Italian",$11-30,$11-30,"
                                94 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,,,No,,Casual,Casual,Average,
vLC830eWml152kxhrOlaNQ,Little Gem,"American (New),Desserts,Salad",$11-30,$11-30,,25,63,66,65,117,Yes,Beer & Wine Only,,Yes,,No,Yes,"Garage, Street",,Yes,Yes,Yes,Free,,Casual,Casual,Average,
YCRkBdOsc290blM8TXwS3A,Dobbs Ferry Restaurant,"American (Traditional),Italian,Desserts",$11-30,$11-30,"
                                87 out of 100
                            ",32,63,86,173,187,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
_zfxJqH3XZ65X8sNYVKGqg,Pa’ina Lounge & Restaurant,"Hawaiian,Bars,Venues & Event Spaces",$11-30,$11-30,"
                                100 out of 100
                            ",36,38,77,158,159,Yes,Full Bar,,Yes,,,No,"Garage, Street",,Yes,Yes,,Free,,"Casual, Trendy",Casual,Average,Live
8NTW-bp5prQmhKEI5f4qxw,Barcino,"Tapas Bars,Cocktail Bars,Spanish",Above $61,Above $61,,10,23,24,37,28,Yes,Full Bar,,,,,No,,,No,Yes,,No,,,Casual,Average,
353bun0151fMbR3ut2d-nw,Absinthe Brasserie & Bar,"French,Breakfast & Brunch,Bars",$31-60,$31-60,"
                                94 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Garage, Street",,Yes,Yes,Yes,Free,,Classy,Casual,Average,
